Delegacia;E-mail;Nome Antigo
DELEGACIA DE POLÍCIA CIVIL DE COMBATE À CORRUPÇÃO;decor@pc.ce.gov.br;DELEGACIA DE COMBATE A CORRUPÇÃO FORTALEZA
DELEGACIA DE POLÍCIA CIVIL DE COMBATE AOS CRIMES CONTRA A ORDEM TRIBUTÁRIA;deccot@pc.ce.gov.br;DELEGACIA DE COMBATE AOS CRIMES CONTRA A ORDEM TRIBUTÁRIA
DELEGACIA DE POLÍCIA CIVIL DE COMBATE AOS CRIMES DE LAVAGEM DE DINHEIRO;dcld@pc.ce.gov.br;DELEGACIA DE COMBATE AOS CRIMES DE LAVAGEM DE DINHEIRO
DELEGACIA DE POLÍCIA CIVIL DE ASSUNTOS INTERNOS;dai@pc.ce.gov.br;DELEGACIA DE ASSUNTOS INTERNOS
DELEGACIA DE POLÍCIA CIVIL DE CAPTURAS E POLINTER;decap@pc.ce.gov.br;DELEGACIA DE CAPTURAS E POLINTER
DELEGACIA DE POLÍCIA CIVIL DE PROTEÇÃO AO MEIO AMBIENTE;dpma@pc.ce.gov.br;DELEGACIA DE PROTEÇÃO AO MEIO AMBIENTE
DELEGACIA DE POLÍCIA CIVIL DE PROTEÇÃO AO TURISTA;deprotur@pc.ce.gov.br;DELEGACIA DE PROTEÇÃO AO TURISTA
DELEGACIA DE POLÍCIA CIVIL DE REPRESSÃO AOS CRIMES CIBERNÉTICOS;drcc@pc.ce.gov.br;DELEGACIA DE REPRESSÃO AOS CRIMES CIBERNÉTICOS
DELEGACIA DE POLÍCIA CIVIL DO AEROPORTO PINTO MARTINS;daer@pc.ce.gov.br;DELEGACIA DO AEROPORTO
DELEGACIA DO TORCEDOR E DOS GRANDES EVENTOS;dadt@policiacivil.ce.gov.br;
DELEGACIA DE COMBATE AO TRÁFICO DE ARMAS, MUNIÇÕES E EXPLOSIVOS;desarme@pc.ce.gov.br;
DELEGACIA DE POLÍCIA CIVIL ANTISSE?UESTRO;das@pc.ce.gov.br;DELEGACIA ANTISSE?UESTRO
DELEGACIA DE POLÍCIA CIVIL DE DEFRAUDAÇÕES E FALSIFICAÇÕES;ddf@pc.ce.gov.br;DELEGACIA DE DEFRAUDAÇÕES E FALSIFICAÇÕES
DELEGACIA DE POLÍCIA CIVIL DE ROUBOS E FURTOS;drf@pc.ce.gov.br;DELEGACIA DE ROUBOS E FURTOS
DELEGACIA DE POLÍCIA CIVIL DE ROUBOS E FURTOS DE VEÍCULOS;drfvc@pc.ce.gov.br;DELEGACIA DE ROUBOS E FURTOS DE VEÍCULOS E CARGAS
DELEGACIA DE POLÍCIA CIVIL DE NARCÓTICOS;denarc@pc.ce.gov.br;DELEGACIA DE NARCÓTICOS
DELEGACIA DE POLÍCIA CIVIL DE REPRESSÃO ÀS AÇÕES CRIMINOSAS ORGANIZADAS;draco@pc.ce.gov.br;DELEGACIA DE REPRESSÃO ÀS AÇÕES CRIMINOSAS ORGANIZADAS
DELEGACIA DE POLÍCIA CIVIL DE REPRESSÃO ÀS AÇÕES CRIMINOSAS ORGANIZADAS DO INTERIOR NORTE;Não encontrado;
DELEGACIA DE POLÍCIA CIVIL DE REPRESSÃO ÀS AÇÕES CRIMINOSAS ORGANIZADAS DO INTERIOR SUL;Não encontrado;
1ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;1dpfortaleza@pc.ce.gov.br;1º DISTRITO POLICIAL
2ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;2dpfortaleza@pc.ce.gov.br;2º DISTRITO POLICIAL
3ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;3dpfortaleza@pc.ce.gov.br;3º DISTRITO POLICIAL
4ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;4dpfortaleza@pc.ce.gov.br;4º DISTRITO POLICIAL
5ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;5dpfortaleza@pc.ce.gov.br;5º DISTRITO POLICIAL
6ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;6dpcapital@pc.ce.gov.br;6º DISTRITO POLICIAL
7ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;7dpfortaleza@pc.ce.gov.br;7º DISTRITO POLICIAL
8ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;8dpfortaleza@pc.ce.gov.br;8º DISTRITO POLICIAL
9ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;9dpfortaleza@pc.ce.gov.br;9º DISTRITO POLICIAL
10ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;10dpfortaleza@pc.ce.gov.br;10º DISTRITO POLICIAL
11ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;11dpfortaleza@pc.ce.gov.br;11º DISTRITO POLICIAL
12ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;12dpfortaleza@pc.ce.gov.br;12º DISTRITO POLICIAL
13ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;13dpfortaleza@pc.ce.gov.br;13º DISTRITO POLICIAL
14ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;14dpfortaleza@pc.ce.gov.br;26º DISTRITO POLICIAL
15ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;15dpfortaleza@pc.ce.gov.br;15º DISTRITO POLICIAL
16ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;16dpfortaleza@pc.ce.gov.br;16º DISTRITO POLICIAL
17ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;17dpfortaleza@pc.ce.gov.br;17º DISTRITO POLICIAL
18ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;18dpfortaleza@pc.ce.gov.br;35º DISTRITO POLICIAL
