Delegacia;Nome Antigo;CNPJ;Código;Categoria
DELEGACIA DE POLÍCIA CIVIL DE COMBATE À CORRUPÇÃO;DELEGACIA DE COMBATE A CORRUPÇÃO FORTALEZA;01.869.564/0001-28;20176298;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE COMBATE AOS CRIMES CONTRA A ORDEM TRIBUTÁRIA;DELEGACIA DE COMBATE AOS CRIMES CONTRA A ORDEM TRIBUTÁRIA;01.869.564/0001-28;20201161;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE COMBATE AOS CRIMES DE LAVAGEM DE DINHEIRO;DELEGACIA DE COMBATE AOS CRIMES DE LAVAGEM DE DINHEIRO;01.869.564/0001-28;20867024;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ASSUNTOS INTERNOS;DELEGACIA DE ASSUNTOS INTERNOS;01.869.564/0001-28;20174923;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CAPTURAS E POLINTER;DELEGACIA DE CAPTURAS E POLINTER;01.869.564/0001-28;20176317;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PROTEÇÃO AO MEIO AMBIENTE;DELEGACIA DE PROTEÇÃO AO MEIO AMBIENTE;01.869.564/0001-28;20175034;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PROTEÇÃO AO TURISTA;DELEGACIA DE PROTEÇÃO AO TURISTA;01.869.564/0001-28;20176228;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE REPRESSÃO AOS CRIMES CIBERNÉTICOS;DELEGACIA DE REPRESSÃO AOS CRIMES CIBERNÉTICOS;01.869.564/0001-28;25947490;Delegacia
DELEGACIA DE POLÍCIA CIVIL DO AEROPORTO PINTO MARTINS;DELEGACIA DO AEROPORTO;01.869.564/0001-28;20867010;Delegacia
DELEGACIA DO TORCEDOR E DOS GRANDES EVENTOS;;01.869.564/0001-28;;Delegacia
DELEGACIA DE COMBATE AO TRÁFICO DE ARMAS, MUNIÇÕES E EXPLOSIVOS;;01.869.564/0001-28;33876632;Delegacia
DELEGACIA DE POLÍCIA CIVIL ANTISSE?UESTRO;DELEGACIA ANTISSE?UESTRO;01.869.564/0001-28;20176270;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE DEFRAUDAÇÕES E FALSIFICAÇÕES;DELEGACIA DE DEFRAUDAÇÕES E FALSIFICAÇÕES;01.869.564/0001-28;20176218;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ROUBOS E FURTOS;DELEGACIA DE ROUBOS E FURTOS;01.869.564/0001-28;20175001;Delegacia
