Nome;URL;Categoria;Palavras_Chave
Conversor de Mídia - MP4 - PJe;https://convertio.co/pt/asf-mp4/;Ferramentas;converter mídia vídeo asf mp4 pje
Planner de Tarefas;https://link.tjce.jus.br/342064;Ferramentas;planner tarefas estagiários organização
E-mail (acesso antigo - para estagiários novos);https://bra01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwebmail.tjce.jus.br%2Fowa%2F&data=05%7C02%7Cana.rodrigues4%40tjce.jus.br%7C6fdb0f859e5d461f0a7608dc969df26d%7C08fb26acbd1d4d20b320a86a0a35ce30%7C0%7C0%7C638550852335458773%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=Hwx1iA5XVi976cf%2BKfJfivdp919X8OGxBmLwc7HOnZc%3D&reserved=0;Sistemas;email acesso antigo estagiario novo
Documentos - Análise e Cumprimento;https://link.tjce.jus.br/57677f;Materiais;documentos análise cumprimento modelos
Comarcas Agregadas;https://bugarim.com/comarcas/;Consultas;comarcas agregadas pesquisar consulta
SIGEPEN;http://172.24.21.2:82/;Sistemas;sigepen sistema prisional
Malote Digital;https://hermes.tjce.jus.br/malotedigital/login.jsf;Sistemas;malote digital hermes
CANCUN;https://cancun.tjce.jus.br/cancun-web/pages/antecedentes/pesquisa_escolha.jsf;Sistemas;cancun antecedentes pesquisa
SCN - Número de Ofícios;https://scn.tjce.jus.br/login;Sistemas;scn número ofícios login
BNMP 3.0;https://bnmp.pdpj.jus.br/;Sistemas;bnmp mandados prisão
Glossário de Siglas;https://link.tjce.jus.br/43e562;Materiais;glossário siglas consulta
Aulas Introdutórias;https://link.tjce.jus.br/8e4c49;Materiais;aulas introdutórias treinamento
Manuais - PJe;https://link.tjce.jus.br/a3c436;Materiais;manuais pje instruções
Vídeos - PJe;https://link.tjce.jus.br/977a69;Materiais;vídeos pje aulas treinamento
Unidades Prisionais - SAP;https://www.ce.gov.br/sap/unidades-prisionais/;Consultas;unidades presidios sap
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
