Codigo;Nome do Modelo;Categoria;Perfil;Palavras_Chave;Sistema
501128;[E-MAIL] - Ofício Genérico;OFÍCIO;Servidor;email, e-mail, oficio, ofício, comunicação;Apenas SAJ
3912;[MALOTE DIGITAL] - Ofício Genérico;OFÍCIO;Servidor;malote, malote digital, oficio, ofício;Apenas SAJ
4952;Comunicação ao Depósito Público;OFÍCIO;Servidor;deposito, depósito, depósito público, comunicação;Apenas SAJ
3352;Destruição de arma (COMUNICAÇÃO AO EXÉRCITO);OFÍCIO;Servidor;arma, destruição, exército, exercito, comunicação;Apenas SAJ
986;Mandado de intimação - Acusado para constituir novo advogado (Réu Solto);Mandado;Servidor;novo advogado, constituir advogado, acusado, réu solto;Apenas SAJ
1874;Mandado de intimação - Acusado para constituir novo advogado - URGENTE (Réu Preso);Mandado;Servidor;novo advogado, constituir advogado, urgente, réu preso;Apenas SAJ
1010;Mandado de Intimação Genérico (Réu Solto);Mandado;Servidor;intimação genérica, genérico, réu solto;Apenas SAJ
1876;Mandado de Intimação Genérico - URGENTE (Réu Preso);Mandado;Servidor;intimação genérica, urgente, réu preso;Apenas SAJ
982;Mandado de Intimação de Sentença (Réu Solto);Mandado;Servidor;sentença, intimação sentença, réu solto;Apenas SAJ
1872;Mandado de Intimação de Sentença - URGENTE;Mandado;Servidor;sentença, intimação sentença, urgente;Apenas SAJ
5332;Mandado de Intimação de Sentença com condenação em pena de multa (Réu Solto);Mandado;Servidor;sentença multa, pena multa, multa, réu solto;Apenas SAJ
5330;Mandado de Intimação de Sentença com condenação em pena de multa (Réu Preso);Mandado;Servidor;sentença multa, pena multa, multa, réu preso;Apenas SAJ
6507;Carta Precatória de intimação da sentença;CARTA PRECATÓRIA;Magistrado;carta precatória, precatória sentença, sentença;Apenas SAJ
6509;Carta Precatória para intimar réu para constituir novo advogado;CARTA PRECATÓRIA;Magistrado;carta precatória, novo advogado, constituir advogado;Apenas SAJ
3511;Edital de Intimação de Sentença (prazo de 90 dias);EDITAL;Magistrado;edital sentença, edital 90 dias, 90 dias;Apenas SAJ
3215;Edital de Intimação de Sentença Prazo de 60 (Sessenta) dias;EDITAL;Magistrado;edital sentença, edital 60 dias, 60 dias;Apenas SAJ
3314;Mandado de INTIMAÇÃO de PRONÚNCIA (Réu Solto);MANDADO;Magistrado;pronúncia, pronuncia, júri, réu solto;Apenas SAJ
3281;Mandado de INTIMAÇÃO de PRONÚNCIA - URGENTE (Réu Preso);MANDADO;Magistrado;pronúncia, pronuncia, júri, urgente, réu preso;SAJ e PJE
1012;Mandado de INTIMAÇÃO - Genérico (Réu Solto);MANDADO;Magistrado;genérico, intimação genérica, réu solto;Apenas SAJ
1877;Mandado de INTIMAÇÃO - Genérico – URGENTE (Réu Preso);MANDADO;Magistrado;genérico, urgente, réu preso;Apenas SAJ
5120;Mandado de INTIMAÇÃO do RÉU da DECISÃO DESCLASSIFICATÓRIA (Réu Solto);MANDADO;Servidor;desclassificatória, desclassificação, decisão desclassificatória;Apenas SAJ
991;Mandado de INTIMAÇÃO do ACUSADO para CONSTITUIR NOVO ADVOGADO (Réu Solto);MANDADO;Magistrado;novo advogado, constituir advogado, acusado;Apenas SAJ
1875;Mandado de INTIMAÇÃO do ACUSADO para CONSTITUIR NOVO ADVOGADO - URGENTE (Réu Preso);MANDADO;Magistrado;novo advogado, constituir advogado, urgente, réu preso;Apenas SAJ
3270;Mandado de Intimação de Sentença (Réu Solto);MANDADO;Magistrado;sentença, intimação sentença, réu solto;Apenas SAJ
3278;Mandado de Intimação de Sentença - URGENTE (Réu Preso);MANDADO;Magistrado;sentença, intimação sentença, urgente, réu preso;Apenas SAJ
